p,fitness1,fitness2
1,7900.304080758627,40769.25
2,12951.2354363567,81529.05
3,16951.974390216812,122801.85
4,20296.43396205616,164729.40000000002
5,23006.88877737766,206531.40000000002
6,25313.15763234491,248085.0
7,25338.525916810857,288893.4
8,26815.922789559365,330352.5
9,27805.871262305092,371829.15
10,28958.48639985019,412944.0
11,29763.969809762275,454926.89999999997
12,30712.460911550275,497518.64999999997
13,30712.460911550275,512140.89999999997
14,30744.47756356023,553582.45
15,30577.01624716242,568641.7
16,30368.19487754537,583234.0499999999
17,30275.47063599762,597860.8999999999
18,30275.47063599762,612487.7499999999
19,30275.47063599762,627989.7499999999
20,30232.17142229793,642616.6
21,30182.59543687715,657717.25
22,30182.59543687715,672338.3500000001
23,30435.49496185389,687142.3000000002
24,30435.49496185389,701946.2500000001
25,30435.59568553765,716766.3000000002
26,30472.4471158343,731839.3500000001
27,30691.61859738254,747018.2000000001
28,30691.61859738254,762197.05
29,30693.43478023971,777262.05
30,30573.121096202867,792545.55
31,30241.789062882985,808168.3
32,30125.00866415201,823727.8
33,30232.48093204582,838793.9500000001
34,30175.487737803793,853421.9500000001
35,30176.764643861745,869059.65
36,30139.87224147979,883455.35
37,30139.87224147979,898105.2
38,30139.87224147979,912797.6
39,30120.768982243222,927900.5499999999
40,30120.768982243222,943003.5
41,28682.082700096875,958213.4
42,28671.35644981515,973510.7000000001
43,28672.059589386998,988743.6000000001
44,28672.059589386998,1003976.5000000001
45,28750.100179681995,1019647.5500000002
46,28750.806302715566,1035311.7000000001
47,28805.43110190319,1051162.15
48,28860.025912473728,1067162.0999999999
49,28970.96077705232,1082068.4
50,27946.35449124342,1096985.05
51,27897.164688034834,1112641.15
52,27897.272769952717,1127577.35
53,27897.272769952717,1142513.55
54,27897.277782861926,1157437.1
55,27918.585318406098,1173508.35
56,27918.585318406098,1189579.6
57,27918.62767191015,1205645.1
58,27903.59400547607,1221779.6
59,27852.562037983327,1237968.1500000001
60,27852.562037983327,1254156.7000000002
61,27852.61395811662,1270357.9000000001
62,27811.52263509121,1285552.85
63,27811.575352566055,1300688.0
64,27811.575352566055,1315823.15
65,27813.794258735783,1330585.7000000002
