p,fitness1,fitness2
1,7900.304080758627,40769.25
2,13505.794621100174,81529.05
3,18584.239632955672,122801.85
4,22928.574932637606,164729.40000000002
5,27230.53948749701,206531.40000000002
6,30927.880666792127,248085.0
7,33826.00945342223,288893.4
8,36377.7613719669,330352.5
9,38879.755092165,371829.15
10,40454.06348147413,412944.0
11,41966.14697561319,454926.89999999997
12,43350.92778022829,497518.64999999997
13,44338.46579032312,512140.89999999997
14,45253.145693688624,553582.45
15,45851.00515033416,568641.7
16,46410.2847948602,583234.0499999999
17,46948.456260777784,597860.8999999999
18,47486.62772669537,612487.7499999999
19,48024.373296052785,627989.7499999999
20,48560.68771179662,642616.6
21,49093.485056649675,657717.25
22,49610.42594459369,672338.3500000001
23,50106.630235946344,687142.3000000002
24,50602.83452729898,701946.2500000001
25,51088.70378712844,716766.3000000002
26,51558.73237883359,731839.3500000001
27,52025.18702726085,747018.2000000001
28,52491.64167568809,762197.05
29,52935.1515109328,777262.05
30,53339.76294909464,792545.55
31,53730.33234446184,808168.3
32,54092.24169518052,823727.8
33,54449.7310690195,838793.9500000001
34,54804.5132128608,853421.9500000001
35,55141.607413171565,869059.65
36,55476.38424941195,883455.35
37,55803.70425964268,898105.2
38,56127.56428582244,912797.6
39,56451.3842989363,927900.5499999999
40,56775.204312050155,943003.5
41,57094.173301868235,958213.4
42,57412.87850767277,973510.7000000001
43,57730.12126535156,988743.6000000001
44,58047.36402303035,1003976.5000000001
45,58345.0091635621,1019647.5500000002
46,58640.97334813237,1035311.7000000001
47,58936.864912811805,1051162.15
48,59232.430854445156,1067162.0999999999
49,59487.472972685086,1082068.4
50,59684.26152134872,1096985.05
51,59873.271958116115,1112641.15
52,60058.49133866866,1127577.35
53,60243.710719221206,1142513.55
54,60408.74701687309,1157437.1
55,60565.98175239337,1173508.35
56,60723.21648791366,1189579.6
57,60879.39823471504,1205645.1
58,61013.362281391215,1221779.6
59,61133.06063611598,1237968.1500000001
60,61252.758990840746,1254156.7000000002
61,61369.87747902366,1270357.9000000001
62,61484.21246694435,1285552.85
63,61596.279694609075,1300688.0
64,61708.3469222738,1315823.15
65,61814.097756834344,1330585.7000000002
