p,fitness1,fitness2
1,206016.0,41055.45
2,402528.0,81426.45
3,592304.0,123051.59999999999
4,778808.0,165262.65
5,950864.0,206453.1
6,1122008.0,248195.7
7,1235648.0,289116.15
8,1340000.0,331374.45
9,1435616.0,372872.7
10,1487832.0,415334.85000000003
11,1538392.0,457991.4
12,1587232.0,499266.9
13,1611796.0,513538.4
14,1636360.0,527821.4
15,1660082.0,543177.35
16,1683395.0,559008.25
17,1706708.0,574863.3
18,1729936.0,589638.5
19,1752674.0,604810.45
20,1775412.0,619987.0
21,1798150.0,635118.7
22,1820478.0,649467.25
23,1842806.0,663961.8500000001
24,1865034.0,679599.55
25,1886577.0,695510.9500000001
26,1908084.0,710534.55
27,1929591.0,725461.55
28,1950512.0,741362.6000000001
29,1971433.0,757262.5
30,1992354.0,773158.95
31,2012802.0,817783.8
32,2033219.0,832610.75
33,2053636.0,847550.3999999999
34,2071234.0,862600.45
35,2088832.0,877494.1000000001
36,2106430.0,892544.15
37,2124028.0,907437.7999999999
38,2138233.0,922188.85
39,2151907.0,937058.35
40,2165581.0,951907.15
41,2179255.0,966788.15
42,2192190.0,982797.3
43,2204626.0,998037.1000000001
44,2217062.0,1013298.75
45,2229498.0,1028535.1000000001
46,2241450.0,1043778.3500000001
47,2252032.0,1059320.6
48,2262614.0,1074873.2000000002
49,2273196.0,1090435.0
50,2279723.0,1106467.15
51,2286043.0,1122699.4
52,2292148.0,1137748.3
53,2298253.0,1152794.9
54,2304358.0,1167762.15
55,2310463.0,1182895.0
56,2316560.0,1198552.25
57,2322657.0,1214247.45
58,2328754.0,1230013.95
59,2334038.0,1246511.85
60,2339322.0,1262971.7999999998
61,2344561.0,1279123.55
62,2347117.0,1296916.35
63,2349673.0,1314862.1
64,2352229.0,1332807.85
65,2354785.0,1350667.35
