id,qos,overlapping,not_service
0,423775.0,188,50492
1,386906.0,188,50492
2,368330.0,172,50508
3,429530.0,197,50483
4,352563.0,174,50144
5,364371.0,179,50501
6,390034.0,183,50497
7,410092.0,182,49774
8,441990.0,192,50488
9,448560.0,183,50135
10,394166.0,194,50486
11,405634.0,173,49421
12,430519.0,200,50118
13,429049.0,193,50487
14,421448.0,193,50487
15,417311.0,215,50465
16,440269.0,207,50473
17,426004.0,176,50504
18,525077.0,214,50466
19,401874.0,196,50122
20,507111.0,217,50101
21,373037.0,198,50482
22,349449.0,187,50493
23,420577.0,175,50505
24,392189.0,179,50139
25,356331.0,191,50489
26,388215.0,198,50482
27,406807.0,192,50126
28,329088.0,172,50508
29,442929.0,200,50480
