id,num_stations,qos,overlapping_neighbourhood,overlapping_citizen,not_service_neighbourhood,not_service_citizen
0,2,175962.0,0,0.0,357,542540.0
1,3,227968.0,0,0.0,355,539457.0
2,4,214446.0,0,0.0,354,538706.0
3,5,218352.0,0,0.0,354,538706.0
4,6,385594.0,3,20417.0,354,538706.0
5,7,503884.0,3,20417.0,350,524408.0
6,8,675158.0,3,20417.0,344,503487.0
7,9,766008.0,7,31285.0,344,503487.0
8,10,865530.0,7,31285.0,340,491535.0
9,11,918772.0,7,31285.0,338,485368.0
10,12,964590.0,7,31285.0,335,480129.0
11,13,1017336.0,7,31285.0,332,474024.0
12,14,1021242.0,7,31285.0,332,474024.0
13,15,1049712.0,9,53613.0,331,471788.0
14,16,1056611.0,9,53613.0,328,468795.0
15,17,1067321.0,11,58718.0,327,467096.0
16,18,1071227.0,11,58718.0,327,467096.0
17,19,1078483.0,11,58718.0,326,463746.0
18,20,1103693.0,14,69748.0,324,453472.0
19,21,1128716.0,17,87467.0,322,450074.0
20,22,1147919.0,20,98519.0,321,445829.0
21,23,1174153.0,22,120847.0,321,445829.0
22,24,1200387.0,24,143175.0,321,445829.0
23,25,1224665.0,28,157856.0,318,440138.0
24,26,1229375.0,28,157856.0,316,439334.0
25,27,1240131.0,32,164706.0,316,439334.0
26,28,1244037.0,32,164706.0,316,439334.0
27,29,1258323.0,32,164706.0,314,428954.0
28,30,1265765.0,33,166201.0,311,426913.0
29,31,1290247.0,39,186777.0,311,426913.0
30,32,1294153.0,39,186777.0,311,426913.0
31,33,1315211.0,40,203929.0,311,426913.0
32,34,1321451.0,40,203929.0,310,424579.0
33,35,1341715.0,40,203929.0,307,408221.0
34,36,1345621.0,40,203929.0,307,408221.0
35,37,1367125.0,43,220287.0,306,406981.0
36,38,1388629.0,47,237885.0,306,406981.0
37,39,1406740.0,47,237885.0,302,392776.0
38,40,1424320.0,49,250667.0,301,391884.0
39,41,1441900.0,52,264341.0,301,391884.0
40,42,1456837.0,54,275372.0,301,391884.0
41,43,1473787.0,59,288416.0,301,391884.0
42,44,1477693.0,59,288416.0,301,391884.0
43,45,1494035.0,59,288416.0,296,379448.0
44,46,1510377.0,64,300852.0,296,379448.0
45,47,1531435.0,65,318004.0,296,379448.0
46,48,1537306.0,66,318888.0,295,378367.0
47,49,1541212.0,66,318888.0,295,378367.0
48,50,1550186.0,67,320883.0,294,375294.0
49,51,1556328.0,68,323119.0,294,375294.0
50,52,1565266.0,71,328151.0,294,375294.0
51,53,1579766.0,71,328151.0,290,364700.0
52,54,1583672.0,71,328151.0,290,364700.0
53,55,1587855.0,71,328151.0,289,364423.0
54,56,1593393.0,72,329783.0,289,364423.0
55,57,1603396.0,72,329783.0,288,358326.0
56,58,1607550.0,72,329783.0,287,358078.0
57,59,1617553.0,73,335880.0,287,358078.0
58,60,1626653.0,76,340912.0,286,357916.0
59,61,1635843.0,79,345944.0,285,357664.0
60,62,1644988.0,82,351183.0,285,357664.0
61,63,1650643.0,82,351183.0,284,355915.0
62,64,1657105.0,82,351183.0,283,353359.0
63,65,1663567.0,83,353739.0,283,353359.0
64,66,1670029.0,84,356295.0,283,353359.0
